Two-year	0.091104612	0.61501205	33100	0.087472193	64200
Four-year	0.069825172	0.60241026	51300	0.32132876	99100
Two-year	0.08861161	0.54047382	39800	0.12733775	72300
Two-year	0.13655819	0.42155856	37000	0.14617175	80800
Four-year	0.076121062	0.6468268	52000	0.29743156	103000
Four-year	0.11306878	0.58075023	35400	0.096129663	66000
Four-year	0.083367601	0.61055648	65000	0.38898668	147100
Four-year	0.093194023	0.61110085	49100	0.33458623	108100
Four-year	0.071720138	0.55927777	43500	0.23015651	66300
Two-year	0.12119249	0.44232777	36400	0.089702345	76200
Four-year	0.051578771	0.67169541	58500	0.4253948	120100
Four-year	0.16835982	0.44216874	38100	0.13294758	84100
Two-year	0.1506042	0.51651061	32300	0.11472678	58900
Two-year	0.12109449	0.52790791	36400	0.1460851	91100
Two-year	0.092181958	0.58021468	36200	0.11162073	74500
Four-year	0.16363136	0.54182345	32100	0.065168165	54700
Four-year	0.087476335	0.46412954	35400	0.07770896	77200
Two-year	0.14067915	0.27714461	19500	0.025647487	33600
Four-year	0.084864073	0.64077163	42900	0.22962229	99000
Four-year	0.071828879	0.66091794	58400	0.40253019	112900
Four-year	0.14315346	0.33839619	33700	0.124337	68000
Four-year	0.10736018	0.68741113	45200	0.31020376	95400
Two-year	0.12250118	0.43625298	29200	0.041656248	57600
Two-year	0.12874135	0.39548439	32200	0.069943443	61900
Two-year	0.13459361	0.5087713	37900	0.13604297	76500
Four-year	0.20103459	0.86619222	30300	0.13685821	91100
Four-year	0.11007116	0.63860941	48300	0.28875419	72300
Two-year	0.16034321	0.49389261	38000	0.17672206	73500
Four-year	0.10315985	0.65127045	39100	0.17036343	79800
Four-year	0.18591337	0.79610622	34500	0.20708139	78900
Four-year	0.093714476	0.57990736	51500	0.31888157	88700
Four-year	0.1485799	0.73715872	49700	0.30775073	130900
Four-year	0.1113243	0.66084617	40400	0.20565112	84000
Two-year	0.12408897	0.46148774	32100	0.069427848	60400
Four-year	0.073206194	0.66536272	51000	0.2978656	91600
Four-year	0.060637128	0.67371345	63500	0.41631222	124800
Four-year	0.10649522	0.19444919	38900	0.18507406	54500
Four-year	0.20502073	0.31151673	33000	0.15920615	109600
Two-year	0.20622066	0.57391232	28600	0.068481028	44900
Four-year	0.076534927	0.55965865	70100	0.53978479	104400
Four-year	0.19403619	0.75396061	40800	0.18627639	85500
Two-year	0.12440427	0.51668769	31600	0.061690398	61300
Two-year	0.13120215	0.48565707	40900	0.19617638	91100
Four-year	0.12495596	0.69645548	40100	0.16293009	86300
Four-year	0.10585229	0.52949655	32800	0.1312511	74500
Two-year	0.12506598	0.47273231	34500	0.096843734	70400
Two-year	0.087910838	0.53963584	56400	0.003062395	75600
Four-year	0.10692246	0.42994827	37300	0.098721996	63100
Four-year	0.074727498	0.49907449	58300	0.56508553	140400
Four-year	0.091521993	0.5076192	59600	0.45770481	80200
Four-year	0.092388719	0.64001471	39000	0.37757084	99700
Four-year	0.065106913	0.65585172	59200	0.41347483	104000
Two-year	0.14554074	0.47396234	29400	0.028080482	53000
Four-year	0.094091162	0.65178537	41800	0.19804944	116700
Four-year	0.088387467	0.63090479	39500	0.22806722	60700
Two-year	0.15705432	0.32924742	34000	0.14326668	41400
Two-year	0.15474617	0.54723644	34400	0.11462402	71900
Four-year	0.073722407	0.6750263	43900	0.2948803	57800
Two-year	0.12544525	0.39721403	35000	0.10864457	70700
Four-year	0.069389641	0.58825362	58300	0.31393677	95100
Two-year	0.073368952	0.60274345	37300	0.15620634	70900
Four-year	0.070199944	0.72922248	55000	0.47039306	83700
Four-year	0.10787864	0.58139205	30900	0.038269263	49400
Four-year	0.074408285	0.65256411	81800	0.4560827	85300
Two-year	0.15246552	0.41951919	35800	0.15418597	80500
Two-year	0.12890013	0.36174673	36500	0.15256782	46500
Two-year	0.12999424	0.57902139	33100	0.13293253	52100
Four-year	0.054249607	0.71686924	49500	0.34390393	92700
Two-year	0.16192284	0.50643587	38000	0.19683868	50000
Four-year	0.088261746	0.59900403	44200	0.19721116	106500
